Koło;Nazwisko;Imię ;1-31;1-35;1-40;1-56;1-57;1-64;1-89;1-126;1-139;1-140;2-8;3-15;5-4;5-15;5-28;6-14;6-16;7-11;8-7;8-11;9-16;9-17;9-18;9-22;9-25;9-26;10-8;10-9;10-11;10-15;10-18;10-19;11-8;11-11;11-13;11-16;11-44;11-48;11-55;12-13;12-14;12-24;12-26;12-27;12-28;14-18;14-19;14-20;14-29;14-36;15-27;15-35;15-50;16-6;16-7;16-17;16-21;16-63;16-82
PiS;Leniart;Ewa;PRZECIW;ZA;WSTRZYMAŁ SIĘ;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Lichocka;Joanna;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Lipiec;Krzysztof;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Lorek;Grzegorz;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Łukaszewicz;Sebastian;ZA;NIEOBECNY;PRZECIW;NIEOBECNY;NIEOBECNY;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;NIEOBECNY;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;NIEOBECNY;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW
PiS;Machałek;Marzena;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Macierewicz;Antoni;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Macko;Grzegorz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Malik;Ewa;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW
PiS;Małecki;Maciej;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;PRZECIW;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;WSTRZYMAŁ SIĘ;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Matecki;Dariusz;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;PRZECIW;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;ZA;ZA;PRZECIW;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Materna;Jerzy;WSTRZYMAŁ SIĘ;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Matusiak;Grzegorz;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;ZA;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Matuszewski;Marek;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;PRZECIW;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Mejza;Łukasz;WSTRZYMAŁ SIĘ;ZA;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Milczanowska;Anna;WSTRZYMAŁ SIĘ;ZA;WSTRZYMAŁ SIĘ;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;NIEOBECNY;NIEOBECNY
PiS;Milewski;Daniel;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Morawiecki;Mateusz;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;PRZECIW;ZA;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;NIEOBECNY;ZA;ZA;NIEOBECNY
PiS;Mosiński;Jan;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Moskal;Michał;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Mrówczyński;Aleksander;ZA;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;PRZECIW;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Ociepa;Marcin;PRZECIW;ZA;ZA;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;PRZECIW;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Osuch;Jacek;ZA;ZA;NIEOBECNY;PRZECIW;ZA;WSTRZYMAŁ SIĘ;NIEOBECNY;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY;NIEOBECNY
PiS;Paluch;Anna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Pamuła;Teresa;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;ZA;NIEOBECNY;NIEOBECNY;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;NIEOBECNY;NIEOBECNY;NIEOBECNY;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Pawłowska;Monika;;;;;;;;;;;;;;;;;;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;NIEOBECNY;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
PiS;Piecha;Bolesław;PRZECIW;ZA;WSTRZYMAŁ SIĘ;PRZECIW;ZA;WSTRZYMAŁ SIĘ;WSTRZYMAŁ SIĘ;NIEOBECNY;PRZECIW;NIEOBECNY;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;PRZECIW;PRZECIW;ZA;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;PRZECIW;PRZECIW;ZA;ZA;ZA;WSTRZYMAŁ SIĘ;ZA;PRZECIW;ZA;PRZECIW;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW;ZA;ZA;ZA;ZA;ZA;PRZECIW;ZA;ZA;PRZECIW
